fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-05-01,Cartagena,5,0605,historico,49102177.0
2024-05-01,Cartagena,5,07,historico,627879659.2
2024-05-01,Cartagena,5,1301,historico,20620860.08
2024-05-01,Cartagena,5,14,historico,47998074.0
2024-05-01,Cartagena,5,15,historico,110607064.0
2024-05-01,Cartagena,5,1725,historico,71020202.0
2024-05-01,Cartagena,5,25,historico,267996269.0
2024-05-01,Cartagena,5,76,historico,86196337.0
2024-05-01,Cartagena,5,80,historico,167807159.0
2024-05-01,Cartagena,5,E,historico,102554796.0
2024-06-01,Medellín,1,0605,historico,121777119.0
2024-06-01,Medellín,1,07,historico,1213357107.3
2024-06-01,Medellín,1,1301,historico,227755285.0
2024-06-01,Medellín,1,14,historico,122144793.89
2024-06-01,Medellín,1,15,historico,291333638.0
2024-06-01,Medellín,1,1725,historico,193470354.0
2024-06-01,Medellín,1,25,historico,598256031.0
2024-06-01,Medellín,1,76,historico,124073014.0
2024-06-01,Medellín,1,80,historico,302454097.54
2024-06-01,Medellín,1,E,historico,638987004.55
2024-06-01,Bogotá,2,0605,historico,227674254.4
2024-06-01,Bogotá,2,07,historico,1728576184.34
2024-06-01,Bogotá,2,1301,historico,251788872.0
2024-06-01,Bogotá,2,14,historico,110025819.4
2024-06-01,Bogotá,2,15,historico,386160952.0
2024-06-01,Bogotá,2,1725,historico,268796878.0
2024-06-01,Bogotá,2,25,historico,817080889.8
2024-06-01,Bogotá,2,76,historico,176857713.0
2024-06-01,Bogotá,2,80,historico,253239727.0
2024-06-01,Bogotá,2,E,historico,692533551.36
2024-06-01,Cali,3,0605,historico,90403948.0
2024-06-01,Cali,3,07,historico,536009249.0
2024-06-01,Cali,3,1301,historico,201813012.1
2024-06-01,Cali,3,14,historico,68460416.07
2024-06-01,Cali,3,15,historico,158788403.0
2024-06-01,Cali,3,1725,historico,103701056.0
2024-06-01,Cali,3,25,historico,217098996.46
2024-06-01,Cali,3,76,historico,79451415.0
2024-06-01,Cali,3,80,historico,172697274.0
2024-06-01,Cali,3,E,historico,374839352.29
2024-06-01,Barranquilla,4,0605,historico,21903414.0
2024-06-01,Barranquilla,4,07,historico,420466744.8
2024-06-01,Barranquilla,4,1301,historico,37054928.8
2024-06-01,Barranquilla,4,14,historico,75264460.56
2024-06-01,Barranquilla,4,15,historico,232907358.0
